Date,Category,Subcategory,Detail,Item,Newtenanciestime,Region,Value
31/07/2023,Priority Waitlist,Applications,,Region need,,Goldfields,127
31/07/2023,Priority Waitlist,Applications,,Region need,,Midwest/Gascoyne,188
31/07/2023,Priority Waitlist,Applications,,Region need,,Pilbara,221
31/07/2023,Priority Waitlist,Applications,,Region need,,West Kimberley,184
31/07/2023,Priority Waitlist,Applications,,Region need,,Wheatbelt,136
31/07/2023,Priority Waitlist,Applications,,Region need,,East Kimberley,122
31/07/2023,Priority Waitlist,Individuals,,Region need,,North Metro,2744
31/07/2023,Priority Waitlist,Individuals,,Region need,,South Metro,3686
31/07/2023,Priority Waitlist,Individuals,,Region need,,Great Southern,384
31/07/2023,Priority Waitlist,Individuals,,Region need,,Southwest,471
31/07/2023,Priority Waitlist,Individuals,,Region need,,Goldfields,274
31/07/2023,Priority Waitlist,Individuals,,Region need,,Midwest/Gascoyne,406
31/07/2023,Priority Waitlist,Individuals,,Region need,,Pilbara,518
31/07/2023,Priority Waitlist,Individuals,,Region need,,West Kimberley,381
31/07/2023,Priority Waitlist,Individuals,,Region need,,Wheatbelt,316
31/07/2023,Priority Waitlist,Individuals,,Region need,,East Kimberley,267
31/07/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,North Metro,135
31/07/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,South Metro,134
31/07/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Great Southern,109
31/07/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Southwest,150
31/07/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Goldfields,101
31/07/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Midwest/Gascoyne,133
31/07/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Pilbara,139
31/07/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,West Kimberley,226
31/07/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Wheatbelt,78
31/07/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time by region,,East Kimberley,154
31/07/2023,Total waitlist waiting time,Median wait,,Waiting time by region,,North Metro,105
31/07/2023,Total waitlist waiting time,Median wait,,Waiting time by region,,South Metro,106
31/07/2023,Total waitlist waiting time,Median wait,,Waiting time by region,,Great Southern,73
31/07/2023,Total waitlist waiting time,Median wait,,Waiting time by region,,Southwest,123
31/07/2023,Total waitlist waiting time,Median wait,,Waiting time by region,,Goldfields,67
31/07/2023,Total waitlist waiting time,Median wait,,Waiting time by region,,Midwest/Gascoyne,109
31/07/2023,Total waitlist waiting time,Median wait,,Waiting time by region,,Pilbara,131
31/07/2023,Total waitlist waiting time,Median wait,,Waiting time by region,,West Kimberley,191
31/07/2023,Total waitlist waiting time,Median wait,,Waiting time by region,,Wheatbelt,64
31/07/2023,Total waitlist waiting time,Median wait,,Waiting time by region,,East Kimberley,140
31/07/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,North Metro,75
31/07/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,South Metro,73
31/07/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Great Southern,60
31/07/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Southwest,52
31/07/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Goldfields,56
31/07/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Midwest/Gascoyne,65
31/07/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Pilbara,101
31/07/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,West Kimberley,118
31/07/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,Wheatbelt,47
31/07/2023,Priority waitlist waiting time,Average wait last 12 months,,Waiting time by region,,East Kimberley,121
31/07/2023,Priority waitlist waiting time,Median wait,,Waiting time by region,,North Metro,67
31/07/2023,Priority waitlist waiting time,Median wait,,Waiting time by region,,South Metro,69
31/07/2023,Priority waitlist waiting time,Median wait,,Waiting time by region,,Great Southern,42
31/07/2023,Priority waitlist waiting time,Median wait,,Waiting time by region,,Southwest,38
31/07/2023,Priority waitlist waiting time,Median wait,,Waiting time by region,,Goldfields,41
31/07/2023,Priority waitlist waiting time,Median wait,,Waiting time by region,,Midwest/Gascoyne,61
31/07/2023,Priority waitlist waiting time,Median wait,,Waiting time by region,,Pilbara,99
31/07/2023,Priority waitlist waiting time,Median wait,,Waiting time by region,,West Kimberley,90
31/07/2023,Priority waitlist waiting time,Median wait,,Waiting time by region,,Wheatbelt,31
31/07/2023,Priority waitlist waiting time,Median wait,,Waiting time by region,,East Kimberley,112
