Date,Category,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Estimate,Value,added_datetime
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior year,Percentage,N,1674.2857142857144,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,-,Actual,change from prior year,Percentage,N,15.47035840582866,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,-,Actual,change from prior year,Percentage,N,13.815393752046228,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,change from prior year,Percentage,N,-6.927538079153515,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,change from prior year,Percentage,N,1.6024674752441208,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,change from prior year,Percentage,N,-19.39709618486089,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,change from prior year,Percentage,N,-10.73046964403491,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Actual,change from prior year,Percentage,Y,-25.83370386838595,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Actual,change from prior year,Percentage,Y,-29.111772205694862,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Percentage,change from prior year,Percentage,Y,-35.77027286002576,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Percentage,change from prior year,Percentage,Y,-37.716485040029404,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Actual,change from prior year,Percentage,N,-22.979043684585342,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Actual,change from prior year,Percentage,N,-29.410964087853753,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Percentage,change from prior year,Percentage,N,-33.29807114244931,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Percentage,change from prior year,Percentage,N,-37.9793597464252,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior year,Percentage,N,-2.5806451612903225,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior year,Percentage,N,-12.46376811594203,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior year,Percentage,N,-15.426929059308838,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior year,Percentage,N,-24.006805821407948,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Number,-,Actual,-,-,N,19574.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Number,-,Actual,-,-,N,19574.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Actual,-,-,N,588.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Actual,-,-,N,588.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Percentage,-,-,N,3.097018855999157,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Percentage,-,-,N,3.097018855999157,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,calendar year to date,Actual,-,-,N,15123.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,calendar year to date,Actual,-,-,N,15123.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,calendar year to date,Percentage,-,-,N,339.7663446416535,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,calendar year to date,Percentage,-,-,N,339.7663446416535,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,-,Actual,-,-,N,19172.46153846154,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,-,Actual,-,-,N,19172.46153846154,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,12 month rolling average,Actual,-,-,N,401.538461538461,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,12 month rolling average,Actual,-,-,N,401.538461538461,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,12 month rolling average,Percentage,-,-,N,2.0943500694104498,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,12 month rolling average,Percentage,-,-,N,2.0943500694104498,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior month change,Actual,-,-,Y,33.38461538461539,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior month change,Actual,-,-,Y,33.38461538461539,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior month change,Percentage,-,-,Y,0.17412795596247824,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior month change,Percentage,-,-,Y,0.17412795596247824,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior year change,Actual,-,-,N,273.84615384615387,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior year change,Actual,-,-,N,273.84615384615387,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior year change,Percentage,-,-,N,1.428330698678393,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior year change,Percentage,-,-,N,1.428330698678393,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,financial year to date,Actual,-,-,N,512.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,financial year to date,Actual,-,-,N,512.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,financial year to date,Percentage,-,-,N,2.6859720910712412,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,financial year to date,Percentage,-,-,N,2.6859720910712412,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Actual,change from prior month,Actual,Y,341.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Percentage,change from prior month,Actual,Y,1.7983858381232372,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,calendar year to date,Actual,change from prior month,Actual,Y,307.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,calendar year to date,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,calendar year to date,Percentage,change from prior month,Actual,Y,6.8973264434957855,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,calendar year to date,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,-,Actual,change from prior month,Actual,Y,86.61538461538657,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,-,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,12 month rolling average,Actual,change from prior month,Actual,Y,220.38461538461343,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,12 month rolling average,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,12 month rolling average,Percentage,change from prior month,Actual,Y,1.1451972537919413,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,12 month rolling average,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior month change,Actual,change from prior month,Actual,Y,2.6153846153846168,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior month change,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior month change,Percentage,change from prior month,Actual,Y,0.01291304035848656,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior month change,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior year change,Actual,change from prior month,Actual,Y,-40.46153846153845,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior year change,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior year change,Percentage,change from prior month,Actual,Y,-0.2184796642163822,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,12 month rolling average,prior year change,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,financial year to date,Actual,change from prior month,Actual,Y,307.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,financial year to date,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,financial year to date,Percentage,change from prior month,Actual,Y,1.61053404679467,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,financial year to date,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Number,-,Actual,change from prior month,Percentage,Y,1.5933980380962265,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Number,-,Actual,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Actual,change from prior month,Percentage,Y,138.05668016194332,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Actual,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Total Applications,Total,Applications,Difference,prior year,Percentage,change from prior month,Percentage,Y,138.48299044981366,2024-02-07 09:10:59.380658
